ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis

Kapelica sv. Barbare na Pejcah,Karavanke, 750,"46,4452°N","14,044°E", cerkev, 135701, 40% ,1628. mesto,1,0,"Kapelica sv. Barbare na Pejcah je ena (zgornja) izmed dveh kapelic, ki stojita ob stari fužinarski poti po kateri so pred stoletji prevažali železovo rudo v dolino na Jesenice. S poti v bližini zgornje kapelice se odpre nekaj razgleda na mesto v dolini, ter proti Mali Mežakli. Nekoč je na Plavžu (zah. del Jesenic) stala cerkev sv. Barbare, ki pa so jo podrli konec 18. stoletja. Njej sta danes posvečeni kapelici na poti čez Pejce."

Soteska Čepa/Tscheppaschlucht,Karavanke, 750,"46,48792°N","14,26455°E", , 349035, 70% ,802. mesto,1,0,"Soteska Čepa se razteza v bližini ljubeljske ceste na avstrijski strani. Urejena je drzno speljana turistična pot, z možnimi več variantami začetka, konca in smeri poti."

Skala,Karavanke, 750,"46,32526°N","15,41553°E", vrh, 335466, 69% ,851. mesto,3,0,"Skala je razgledna točka na vzhodnem delu Konjiške gore. Z razgledne točke, pri kateri je miza, klop in vpisna skrinjica je lep pogled v dolino, kjer lepo vidimo Slovenske Konjice. Na Skalo pa lahko pridemo po lahki ali pa po kratki dobro zavarovani plezalni poti."

Gradišče nad Sotesko (Soteska),Karavanke, 724,"46,4194°N","14,112°E", vrh, 1406, 19% ,2193. mesto,2,0,"Gradišče nad Sotesko (tudi Soteska) je 724 m visok hrib, ki se nahaja na meji med naseljema Koroška Bela in Potoki, v občini Jesenice na Gorenjskem. Gre za povprečnemu očesu manj opazen vrh, ki pa je za okoliške naseljence v davni preteklosti imel veliko pomembnejšo vlogo kot jo ima danes.<br>O tem nam nekaj pove že njegovo ledinsko ime. Ko v neposredni bližini hriba pod južnim pobočjem še ni bilo akumulacijskega jeza za elektrarno Moste, je v tem predelu reka Sava tekla skozi sotesko, po kateri se je ohranilo del imena. V poznorimskem času (1.-4. stol. n.št.) je vrh nad sotesko v povezavi z višje ležečim gorskim zavetiščem na Ajdni predstavljal strateško pomembno točko vhoda (izhoda) v Gornjesavsko dolino, saj je v neposredni bližini potekala ""via Chreinariorum"" - pot Kranjčanov, ki je povezovala Kranjsko, Koroško in Furlanijo. Da sta bili ta poznorimskodobna gorenjska smer poti in naselbina na Ajdni ustrezno zavarovani ter branjeni, je bila nad sotesko Save zgrajena zidana obrambno varovalna vojaška stolpasta utrdba ali gradič. Od tod tudi drugi del ledinskega imena Gradišče.<br>Danes na vrhu hriba naletimo na razvaline obzidja, ter določene terenske značilnosti, ki so priča obstoju utrdbe v davni preteklosti. Z vrha, ki nam zaradi gozda ne nudi veliko razgleda v dolino vidimo sosednjo Ajdno, s poti pa lahko gledamo tako v Ljubljansko kotlino, kot tudi v Gornjesavsko dolino.<br>Vir: Arheološki vestnik (Arh. vest.) 48, 1997 - Arheološki drobci vojaških prvin pozne rimske dobe na Gorenjskem (Andrej Valič)."

RIS Dolina (Dovžanova soteska),Karavanke, 720,"46,3917°N","14,3308°E", , 1790, 21% ,2147. mesto,3,0,"Razstavno izobraževalno središče Dolina, ali skrajšano RIS Dolina, se nahaja nad Dovžanovo sotesko v naselju dolina. V RIS Dolina so razstavljeni fosili in kamnine iz Dovžanove soteske, za ogled pa se plača vstopnina, ki znaša 2 eur za odrasle in 1 eur otroci, dijaki, študentje, upokojenci (avgust 2017)."

Strana,Karavanke, 711,"46,4296°N","14,097°E", vrh, 400, 10% ,2446. mesto,1,0,"Vrh Strana (na nekaterih zemljevidih Kres) je 711 metrov visok hrib, ki se nahaja med naseljema Koroška Bela in Slovenski Javornik pri Jesenicah, ter predstavlja enega izmed ciljev rekreativcev bližnje okolice, v glavnem iz Koroške Bele. Na vrhu in ob poti nanj smo predvsem v času odpadlega listja lahko deležni nekaj zanimivega razgleda proti Javorniškemu Rovtu, Koroški Beli, ter sosednjim hribom Alničje in Jelenkamen. Vrh ni opremljen z vpisno knjigo."

Čopov rovt,Karavanke, 710,"46,4349°N","14,0878°E", planina, 940, 16% ,2275. mesto,1,0,"Med številnimi Javorniškimi rovti pri Jesenicah leži najnižje in obenem tudi najbližje naseljem Slovenski Javornik in Koroška Bela, Čopov rovt, ki se nahaja severozahodno nad zaselkom Trebež. Rovt na katerem se občasno pase živina je redkim obiskovalcem zanimiv predvsem v času cvetenja narcis, saj slednje ponavadi v sicer manjši količini tu zacvetijo že v mesecu aprilu, medtem ko se na ostalih višje ležečih Javorniških in Jeseniških rovtih pojavijo ""šele"" sredi maja."

Slapišče pod Kalvarijo,Karavanke, 700,"46,4373°N","14,0689°E", slap, 800, 15% ,2307. mesto,1,0,"Slapišče pod Kalvarijo se nahaja na višini cca 700 m, v zelo strmi grapi med južnima pobočjema hribov Kalvarija in Jelenkamen pri (na) Jesenicah. Na spletni strani Slapovi Slovenije je o slednjem zapisano: ""Voda se v šestih zaporednih slapovih pretaka čez več kot 100-metrsko stopnjo. Slapišče pod Kalvarijo bi brez težav uvrstili med najvišja v Sloveniji ali vsaj v Karavankah, če ne bi imelo ene izmed slabih lastnosti večine slovenskih velikanov: v sušnih časih ima izredno malo vode ali pa celo povsem presahne. Ob poletnih in jesenskih deževjih ter spomladi, ko se pospešeno tali sneg, pa je pogled nanj veličasten. Kljub neposredni bližini mesta in kratkega dostopa ima zelo malo obiskovalcev""."

Dom na Boču,Karavanke, 698,"46,28347°N","15,59412°E"," koča, cerkev", 440263, 83% ,457. mesto,7,0,"Dom na Boču se nahaja na večji ravnini pod jugozahodnimi pobočji Boča. Od doma oziroma bližnje okolice je lep pogled proti vrhu Boča, kjer se lepo vidijo oddajniki in razgledni stolp. V bližini planinskega doma pa se nahaja manjša cerkvica posvečena Svetemu Miklavžu."

Grad Lindek,Karavanke, 695,"46,3526°N","15,3253°E", vrh, 260668, 58% ,1139. mesto,1,0,"Grad Lindek, ki se prvič omenja leta 1264, se nahaja na Grajskem hribu, le ta pa severno od Frankolovega. Z vrha, na katerem so danes le še razvaline nekdanjega gradu, se nam odpre lep razgled na Konjiško goro, Kislico in okoliške vasi."

Javorniški slapovi,Karavanke, 690,"46,4439°N","14,0943°E", slap, 3174, 24% ,2052. mesto,1,0,"Nekdaj dokaj znani, a danes skoraj pozabljeni Javorniški slapovi se nahajajo na Spodnjih Počivalih - najdišču fosila Trilobit, komaj nekaj metrov stran od ceste, ki vodi z Jesenic (Trebeža) na Javorniški Rovt. Najlepši je zgornji, 7  m visok, ter do 7 m širok pahljačast slap.  Spodnje slapišče sestavljata še dva vsaj 6  m visoka slapova, ter več skočnikov. Klub temu da so skriti med stene grape in gosto grmovje, so Javorniški slapovi zagotovo prav atraktivni."

Dom v Dragi,Karavanke, 689,"46,39476°N","14,21804°E", koča, 303605, 64% ,970. mesto,1,0,"Dom oziroma gostišče v Dragi se nahaja ob vznožju Ovčenikov (1053m). Zaradi bližnjega gozda od doma ni razgleda, nam pa ta v vročih poletnih dneh nudi prijetno senco."

Leški cerkvi,Karavanke, 674,"46,5347°N","14,8887°E", cerkev, 840, 15% ,2295. mesto,2,0,"Leški cerkvi se nahajata na razgledni vzpetini na desnem bregu reke Meže, točneje nad vasjo Leše. Nekoliko nižje ležeča je cerkev sv. Ane, ki je bila zgrajena v prvi polovici 15. stoletja, le nekoliko višje pa se nahaja še cerkev sv. Volbenka, slednja pa je nekoliko posebna, saj nima zvonika. Na objektu v neposredni bližini obeh cerkva, pa se nahaja vpisna skrinjica z vpisno knjigo in žigom Koroške planinske poti."

Sveta Marjeta na Boču,Karavanke, 655,"46,2766°N","15,6199°E", cerkev, 182541, 47% ,1446. mesto,2,0,"Sveta Marjeta se nahaja na Boču pod 791 metrov visokim vrhom Hrastovec. Postavljena v 15. stoletju in konec 19. stoletja obnovljena. V njeni bližini je stala glažuta, kjer so proizvajali steklo. Je nekoliko izven optimalnih povezav med Bočem in Donačko goro. Je podružnična cerkev župnije Kostrivnica. Lepi razgledi so seveda nagrada za obisk omenjene točke."

Podkanjski slap / Wildensteiner Wasserfall,Karavanke, 640,"46,5344°N","14,5089°E", slap, 770, 15% ,2313. mesto,1,0,"Podkanjski slap (Obirski slap) je 54 metrov visok slap na Podkanjskem potoku / Wildensteiner Bach, potoku, ki se nahaja na severni strani Obirja."

Izvir Sotle,Karavanke, 640,"46,25832°N","15,79161°E", , 305508, 64% ,962. mesto,2,0,"Izvir reke Sotle se nahaja na južnem delu Maclja, pogorja ki se dviga južno od vasi Žetale. Izvir reke Sotle je ograjen s kamenjem, v bližini pa se nahaja tudi informativna tabla."

Jezero Završnica,Karavanke, 630,"46,4069°N","14,1473°E", jezero, 720, 14% ,2327. mesto,1,0,"Jezero Završnica oz. Završniško jezero, je akumulacijsko jezero, ki se nahaja na potoku Završnica. Od jezera, okoli katerega vodi lepo urejena sprehajalna pot in trim steza, se nam odpre lep razgled proti okoliškim goram, proti zahodu pa se nam odpre lep pogled proti Julijskim Alpam, kjer se vidi Triglav in nekaj okoliških gora."

Partizanska bolnica na Formili/Boču,Karavanke, 630,"46,2829°N","15,6267°E", , 245100, 56% ,1203. mesto,3,0,"Konec leta 1944, jeseni je bila na Formili/Boču ustanovljena partizanska bolnica pod partizanskim imenom oziroma šifro 0V-3B. Ob manjših lokalnih partizanskih enotah so na tem področju delovale tudi enote Kozjanskega odreda in XIV. divizije. Boč je bil glavna povezava med Kozjanskim in Pohorjem. V bolnici se je zdravilo nekaj deset borcev. Bila je v varnem zavetju kraške ponikalnice. V baraki so bili pogradi v dveh vrstah in streha je bila varovalno prekrita z zemljo, mahom, vejevjem, listjem...Kljub pogostim nemškim hajkam v neposredni bližini je uspešno delovala vse do izdaje marca 1945. Ranjenci so bili še pravočasno prestavljeni na rezervno lokacijo nad Makolami. Jama s kraško ponikalnico je še zmeraj viden spomin, nad njo v steni vzidana spominska plošča, medtem ko je baraka, ki je bila obnovljena leta 1993 v slabem stanju zaradi vandalizma. Še danes, čeprav je neposredno ob gozdni cesti je dobro skrita. Nahaja se nekje v razdalji dvesto metrov levo, nekoliko pod gozdno cesto v smeri z jase Formile za Makole oziroma Plešivec..."

Formila na Boču,Karavanke, 624,"46,2852°N","15,6238°E", , 208052, 50% ,1348. mesto,3,0,"Formila na Boču oziroma travnik na Formilah je suhi travnik na katerem uspevajo številne rastlinske in živalske vrste. Še zlasti je dom številnih metuljev. Pomembno sečišče poti in na njem se nekje ,,prelomi,, studeniški in iz vzhoda makolski del Boča z rogaško/kostrivniškim. Pred desetletji imenovan tudi Veliki travnik, na Frmilah in danes jasa Formila. Zanimiva oaza miru, tišine in neokrnjene narave. Po legendi naj bi na tem mestu pred davnimi časi obstajala bogata vas. Prebivalci so bili prevzetni in brezbožni. Doživeli so kazen, celotna vas se je pogreznila skupaj s prebivalci."

Rudijev dom na Donački gori,Karavanke, 590,"46,26447°N","15,73468°E", koča, 323940, 67% ,891. mesto,1,0,"Rudijev dom se nahaja na zahodni strani Donačke gore. Do doma se lahko pripeljemo z avtomobilom po cesti iz Radeč ali peš od Svetega Jurija. Dom je od konca aprila do oktobra odprt vsak dan razen ponedeljka, v zimskem času pa je odprt ob sobotah, nedeljah in praznikih."

Sveti Rok (Sele),Karavanke, 582,"46,50029°N","15,02748°E", cerkev, 280, 7% ,2511. mesto,1,0,"Župnijska cerkev sv. Roka se nahaja v raztresenem naselju Sele. Od cerkve, ki je bila zgrajena v začetku 16. stoletja in katera pa je bila pozneje še deloma dozidana, se nam odpre lep razgled predvsem proti severovzhodu, kjer vidimo del koroških hribov.<br>Cerkev sv. Roka oz. župnijo, pa je v preteklosti zaznamoval Franc Ksaver Meško, slovenski pisatelj in duhovnik, kjer je dobri dve desetletji ustvarjal in župnikoval."

Gonžarjeva peč,Karavanke, 575,"46,3512°N","15,1672°E", vrh, 394406, 77% ,627. mesto,2,0,"Gonžarjeva peč, zadnje čase vse bolj poznana zaradi nove plezalne poti, se nahaja na vzpetini severozahodno od Vinske Gore. Na vrhu Gonžarjeve peči je vpisna skrinjica ter ob njej nekaj klopi. Z vrha pečine se nam odpre lep pogled na Vinsko Goro in okoliško hribovje."

Lindeški slap,Karavanke, 555,"46,3502°N","15,3222°E", slap, 154400, 43% ,1557. mesto,1,0,"Lindeški slap je 9 metrov visok slap, ki se nahaja v soteski Belskega potoka, le ta pa med Kislico in Lindeškim hribom."

Planinska koča Velikonočnica,Karavanke, 550,"46,2793°N","15,5842°E", koča, 3251, 24% ,2047. mesto,3,0,"Stoji na zahodnem delu Boča, pod 782 metrov visoko Dreveniško goro na travniški planjavi. Mnogi Dreveniško goro imenujejo tudi Mali Boč. To je nekje ožje območje kostrivniškega dela Boča. Zgrajena leta 2006. V upravljanju in oskrbi PD Boč Kostrivnica. Tudi nekaj razgledov lokacija ob koči omogoča."

Mornova zijalka,Karavanke, 550,"46,41277°N","14,97437°E", , 267943, 59% ,1113. mesto,1,0,"Mornova zijalka se nahaja v soteski Hudega potoka v bližini Belih Vod. Mornova zijalka je naravna jama, ki ima velik vhod, s katerega se nadaljuje več kot 40m dolg rov, ter dodatni stranski rov, ki meri 15m. V jami so si našli bivališče prazgodovinski lovci, ki so že takrat uporabljali kamnito orodje. V jami so poleg človeških skelet našli še kovinske predmete, antične novce in leseno bivališče postavljeno na 383m kolih."

Krajnikov grad,Karavanke, 549,"46,3792°N","15,2932°E", vrh, 113494, 37% ,1714. mesto,1,0,"Krajnikov grad, znan tudi kot ""Novi grad"" ali ""Gornji grad"", se nahaja na vrhu hribčka južno od Vitanja. Razvaline srednjeveškega gradu so precej razpršene, z vrha pa zaradi dreves ni dobrega razgleda. Lep razgled na Vitanje se nam odpre na poti na vrh."

Grilova kapela na Boču,Karavanke, 534,"46,2642°N","15,6414°E", cerkev, 190273, 48% ,1417. mesto,2,0,"Grilova kapela se nahaja na južnem pobočju Boča v Cerovcu pod 612 metrov visokim Grilovim hribom, enem od številnih nižjih vrhov Boča. Ob njej je travnata planjava in tukaj vodi pot višje na Boč. Postavljena v zahvalo ob uspešni ozdravitvi gospodarja Mihe Grila pred desetletji. Pred leti obnovljena, z manjšim zvonom na katerega lahko pozvonite za srečo. Prijetna točka na rogaškem delu Boča. Ob Sv. Miklavžu in Sv. Marjeti, nekje tretja duhovna nota višjega območja Boča."

Sveti Pankracij (Grajski grič),Karavanke, 530,"46,508°N","15,0669°E"," vrh, cerkev", 140, 4% ,2599. mesto,3,0,"Cerkev sv. Pankracija na gradu nad Starim trgom je bila zgrajena okoli leta 1240, pozneje so dozidali zakristijo in v 18. stoletju še svete stopnice. Z razgledišča malo pod vrhom se nam odpre lep pogled na Slovenj Gradec in Pohorje."

Grad Konjice,Karavanke, 515,"46,33585°N","15,40977°E", vrh, 231157, 54% ,1253. mesto,2,0,"Konjiški Stari grad, ki je bil zgrajen v 12. stoletju je en od najstarejših gradov pri nas. Z gradu, ki ga počasi obnavljajo je lep pogled na Slovenske Konjice in del Konjiške gore."

Sveti Donat,Karavanke, 511,"46,25794°N","15,73851°E", cerkev, 200509, 49% ,1377. mesto,1,0,"Cerkev svetega Donata se nahaja na jugozahodnem delu Donačke gore. Po svetem Donatu je Donačka gora tudi dobila ime, prej Rogaška gora. Do cerkve lahko pridemo z avtomobilom iz Radeč ali pa se do cerkve podamo peš od Svetega Jurija, vasica pod Donačko goro."

Sveti Mihael na Pečici,Karavanke, 500,"46,275°N","15,5294°E", cerkev, 127694, 39% ,1660. mesto,4,0,"Sveti Mihael se nahaja na Pečici nad Sladko Goro. Je podružnična cerkev župnije Sladka Gora. S cerkve je lep pogled na Boč, Konjiško goro, Kozjansko, Savinjske Alpe... Ima dokaj značilno romansko obliko gradnje."

Sveti Miklavž (Sele),Karavanke, 435,"46,5084°N","15,0359°E", cerkev, 140, 4% ,2600. mesto,1,0,"Cerkev sv. Miklavža se nahaja v vasici Sele, točneje ob potoku Selčnica, na nadmorski višini 435 metrov."

Sveta Barbara v Zagradu,Karavanke, 435,"46,5442°N","14,9307°E"," vrh, cerkev", 170, 5% ,2579. mesto,3,0,Sveta Barbara v Zagradu se nahaja na manjši vzpetini nad Prevaljami. Od cerkve oz. bližnje okolice se odpre lep pogled pogled na Prevalje z okolico.

Zbelovski grad,Karavanke, 400,"46,2961°N","15,5265°E", , 122652, 38% ,1678. mesto,3,0,"Zbelovski grad se nahaja nad naseljem Zbelovo med Poljčanami in Ločami nad desnim bregom Dravinje. Je nekoliko pod vrhom Zbelovske gore. Slabo ohranjen, v ruševinah. Zlato dobo je imel med 13. in 16. stoletjem, ko se je menjalo v lastništvu kar nekaj viteških družin. V takratnem času verjetno najpomembnejša točka med Žičko kartuzijo na zahodu in samostanom dominikank v Studenicah na vzhodu."

Studeniški grad,Karavanke, 315,"46,3°N","15,6151°E", , 171496, 45% ,1489. mesto,3,0,"Studeniški grad se nahaja na vzpetini nad samostanskim kompleksom in osrednjim delom Studenic. Sezidan je bil po zgodovinskih virih v času turških vpadov in bi naj nosil ime Studenitz castrum. Morda po strukturi gradnje bolj utrdba s stolpom. Leta 1788 je v velikem požaru pogorel in ni bil več obnovljen. Od ruševin gradu je lep pogled na Boč, tudi vrh."

Črni vrh,Pohorje in ostala severovzhodna Slovenija, 1543,"46,48561°N","15,23325°E", vrh, 542035, 95% ,142. mesto,4,0,"Črni vrh je najvišji vrh Pohorja. Ker je delno neporaščen se lepo vidi Velika Kopa, Uršlja gora in zadaj Kamniške in Savinjske Alpe. Lepo se vidi tudi del Štajerske. Vrh je travnat in ima vpisno skrinjico."

Velika Kopa,Pohorje in ostala severovzhodna Slovenija, 1542,"46,50669°N","15,1981°E", vrh, 472019, 87% ,345. mesto,3,0,"Velika kopa je 1542 m visok vrh, ki se nahaja med Grmovškovim domom in bližnjo Malo Kopo. Z vrha, ki je le 1 m nižji od najvišjega vrha Pohorja, se nam odpre lep razgled proti Črnemu vrhu, Paškemu Kozjaku, Smrekovškemu pogorju, Uršlji gori ter za njo osrednjim Kamniško Savinjskim Alpam."

Jezerski vrh,Pohorje in ostala severovzhodna Slovenija, 1537,"46,4938°N","15,26443°E", vrh, 418171, 80% ,536. mesto,3,0,Jezerski vrh se nahaja na Ribniškem Pohorju v bližini Ribniške koče. Zaradi neporaščenega vrha je lep razgled po Pohorju in delu štajerske. Na vrhu je postavljen spomenik in nekaj klopi.

Mali Črni vrh,Pohorje in ostala severovzhodna Slovenija, 1533,"46,49591°N","15,25396°E"," vrh, jezero", 325075, 67% ,888. mesto,1,0,Mali Črni vrh se nahaja nad Ribniško kočo. Na vrhu je umetno jezero namenjeno umetnemu zasneževanju smučišča. Z vrha je lep razgled proti Veliki Kopi in za njo proti Uršlji gori. Še bolj zadaj pa se vidijo Kamniške in Savinjske Alpe.

Košenjak,Pohorje in ostala severovzhodna Slovenija, 1522,"46,64515°N","15,03009°E", vrh, 520017, 93% ,196. mesto,12,0,"Košenjak leži severno od Dravograda in reke Drave na meji s sosednjo Avstijo.<br> Dostop na Košenjak je možen peš ali z avtomobilom iz Dravograda. Z avtom se lahko odpeljemo naprej 6,5 km do cerkve sv. Janeza Krstnika na Ojstrici. Možen je tudi dovoz do doma na Košenjaku od cerkve sv. Janeza Krstnika - po makadamski cesti. Od cerkve sv. Janeza Krstnika na Ojstrici imamo 30 minut peš do doma na Košenjaku z lepim razgledom na južno stran proti Pohorju, Uršlji gori-Plešivcu, Peci, Raduhi in tja naprej proti Kamniško-Savinjskim Alpam. Od doma na Košenjaku pa do vrha nas pot vodi po gozdu okoli ene ure hoje. Če se odpravimo peš kar iz Dravograda bomo do vrha potrebovali okoli 3 do 4 ure hoje. Košenjak je gora, katera je primerna za sprehode in za nabiranje kondicije. "

Lovrenška jezera,Pohorje in ostala severovzhodna Slovenija, 1520,"46,48336°N","15,31557°E"," vrh, jezero", 626604, 98% ,45. mesto,4,0,"Lovrenška jezera se nahajajo na visokem barju sredi Pohorja med Roglo in Ribniškim Pohorjem. Manjša jezerca, ki dobivajo vodo le s padavinami obdaja rušje. Jezerca si lahko ogledamo po z lesom tlakovani stezici, ki nam omogoča, da hodimo po suhem in ne po močvirju. Hoja po močvirju pa je prepovedana. Na začetku barja pa je razgledni stolp, ki nam omogoča pogled po Lovrenških jezerih."

Rogla,Pohorje in ostala severovzhodna Slovenija, 1517,"46,45643°N","15,3458°E", vrh, 505989, 91% ,238. mesto,5,0,"Rogla je vrh sredi istoimenskega smučišča. Vrh je gozdnat z majhno jaso na kateri stoji razgledni stolp. Stolp je visok 30m in nam nudi lep razgled na bližnje gozdove in ob lepem vremenu celo na Triglav. Če Rogli dodamo 30m višine je to tudi najvišja točka na Pohorju, kjer lahko stoji človeška noga."

Ribniška koča,Pohorje in ostala severovzhodna Slovenija, 1507,"46,49786°N","15,2557°E", koča, 536195, 94% ,156. mesto,6,0,Ribniška koča se nahaja na Ribniškem Pohorju med Malim Črnim vrhom in Jezerskim vrhom. Od koče je lep razgled proti že omenjenima vrhoma ter hribom nad Dravsko dolino. Koča ima v desetih sobah 40 ležišč in še dodatnih 25 na skupnih ležiščih. Koča je tudi točka slovenske planinske poti. V neposredni bližini koče je tudi manjši smučarski center.

Ostruščica,Pohorje in ostala severovzhodna Slovenija, 1498,"46,45852°N","15,3235°E", vrh, 2970, 24% ,2056. mesto,3,0,"Ostruščica je 1498 metrov visok vrh, ki se nahaja zahodno od smučarskih prog na Rogli."

Ribniško jezero,Pohorje in ostala severovzhodna Slovenija, 1490,"46,49488°N","15,26935°E", jezero, 414114, 80% ,554. mesto,3,0,Ribniško jezero se nahaja na visokem barju pod Jezerskim vrhom na Ribniškem Pohorju. Pri jezeru je klopca s katere lahko v miru gledamo jezero in rušje okrog njega. Jezero se napaja le s padavinsko vodo.

Bivak Piramida,Pohorje in ostala severovzhodna Slovenija, 1395,"46,6459°N","15,0361°E", , 850, 15% ,2296. mesto,5,0,"Bivak Piramida je lovska koča, ki jo upravlja lovska družina Dravograd. Ob lovski koči se nahaja studenček, nekaj skulptur ter nekaj miz in klopi."

Koča na Pesku,Pohorje in ostala severovzhodna Slovenija, 1386,"46,4672°N","15,34395°E", koča, 504422, 91% ,243. mesto,2,0,"Koča na Pesku je planinska postojanka, ki se nahaja ob robu večje jase, le ta pa pod vrhovoma Pesek in Rogla. Ker jaso obdaja gozd, od koče ni lepšega razgleda."

Kozji vrh (pri Košenjaku),Pohorje in ostala severovzhodna Slovenija, 1383,"46,6439°N","15,0849°E", vrh, 600, 13% ,2363. mesto,3,0,"Kozji vrh je 1383 metrov visok vrh, ki se nahaja nad Pernicami, s svojo višino pa je tudi najvišji vrh občine Muta."

Grmovškov dom,Pohorje in ostala severovzhodna Slovenija, 1371,"46,50272°N","15,21034°E"," sedlo, koča", 480252, 88% ,317. mesto,2,0,"Grmovškov dom na Kopah, se nahaja na sedlu med Veliko Kopo (1542 m) in vrhom Otiše (1416 m). Od doma, ki je točka slovenske planinske poti in kateri je odprt preko celega leta, zaradi bližnjega gozda ni lepšega razgleda."

Žigartov vrh,Pohorje in ostala severovzhodna Slovenija, 1346,"46,49446°N","15,48712°E", vrh, 379342, 75% ,684. mesto,2,0,"Žigartov vrh je s 1346m najvišji vrh vzhodnega dela Pohorja. Na vrhu stoji dotrajan opazovalni stolp, ki je bil postavljen samo za potrebe zemljemerstva. Z vrha, ki ima vpisno skrinjico (brez žiga, tega se dobi v Ruški koči) zaradi gozda ni razgleda."

Klopni vrh,Pohorje in ostala severovzhodna Slovenija, 1340,"46,49805°N","15,39211°E", vrh, 435568, 83% ,470. mesto,3,1,"Klopni vrh s severo-zahodne strani zapira nižje ležečo obširno planoto na vzhodnem Pohorju. Površina vodoravnega preseka na višini 1300 m je bistveno manjša od površine enako visokega Miznega vrha, ki se nahaja jugo-vzhodno od Klopnega vrha, iz tega verjetno izvira tudi pomen imen.<br>Vrh je gozdnat in zato brez razgleda, na vrhu se nahaja vpisna knjiga, žig pa se nahaja v Koči na Klopnem vrhu. "

Sveti Urban (nad Kozjim Vrhom),Pohorje in ostala severovzhodna Slovenija, 1329,"46,64963°N","15,07349°E", cerkev, 301046, 64% ,982. mesto,4,0,Cerkev svetega Urbana se nahaja severovzhodno od Dravograda na meji med Slovenijo in Avstrijo. V bližini cerkve se nahaja večji travnik na katerem sta postavljena še križ in kapelica.

Tiho jezero (Falski ribnik),Pohorje in ostala severovzhodna Slovenija, 1266,"46,4826°N","15,396°E", jezero, 371871, 74% ,710. mesto,2,0,"Tiho jezero ali Falski ribnik (v ljudski govorici tudi ""Falski tajht"") je umetna akumulacija vode, katera gladina tekom leto niha. V jezero priteka in odteka Lobnica, ki izvira malce više nad jezerom. Okolica jezera se tako po rastlinstvu  kakor tudi izgledu bistveno loči od ostalega področja. Med posebnosti flore, ki uspeva v bližini jezera, spada tudi mesojeda rastlina rosika. Jezero je skrito v pohorskih gozdovih in malo znano."

Koča na Klopnem vrhu,Pohorje in ostala severovzhodna Slovenija, 1260,"46,5019°N","15,3993°E", koča, 422311, 81% ,525. mesto,5,0,"Koča stoji na razgledni jasi severno-vzhodno od Klopnega vrha. Predvojno planinsko kočo so leta 1941 požgali partizani z namenom, da ne bi okupator v njej uredil svojo postojanko. V istem letu je v bližini koče potekala prva odprta bitka, v kateri so borci Pohorske čete prvikrat premagali Nemce, na kar nas opozarja spomenik.<br>Od koče je lep razgled na severo- vzhodno stran na Ruše in del Maribora, v ostale smeri nam obširnejši razgled zapirajo hribi.<br>Pred kočo je na ostankih kletne etaže med vojno požgane vile urejena razgledna terasa. "

Ruška koča na Arehu,Pohorje in ostala severovzhodna Slovenija, 1246,"46,49505°N","15,50823°E"," koča, cerkev", 528025, 93% ,177. mesto,5,0,"V bližini smučišča Areh (Mariborsko Pohorje) se nahaja najstarejša planinska postojanka na Pohorju, ki so jo odprli leta 1907. Ob robu velikega travnika je svoj prostor našla Ruška koča, ki je odprta vsak dan od 8 do 21 ure. V bližini koče pa se nahaja tudi cerkev svetega Areha, ki je bila zgrajena v 17. stoletju."

Lukov slap,Pohorje in ostala severovzhodna Slovenija, 1240,"46,4581°N","15,3091°E", slap, 3860, 25% ,2027. mesto,1,0,"Lukov slap se nahaja na dokaj vodnatem potoku, ki je desni pritok reke Mislinje. Slap se nahaja jugovzhodno od nekdanje pastirske vasice Zgornja Komisija."

Jezerc,Pohorje in ostala severovzhodna Slovenija, 1222,"46,4899°N","15,3285°E", jezero, 240173, 55% ,1221. mesto,1,0,"Jezerc tudi Jezerska jama je akumulacijsko jezero, ki se nahaja severovzhodno od Lovrenških jezer. Od jezera, katerega na eni strani obdaja močvirje, na dveh straneh gozd ter na četrti strani cesta, zaradi bližnjega gozda ni razgleda po okoliškem hribovju."

Črno jezero na Pohorju,Pohorje in ostala severovzhodna Slovenija, 1196,"46,44994°N","15,43096°E", jezero, 498354, 90% ,259. mesto,1,0,"Črno jezero na Pohorju je jezero umetnega nastanka. Okrog leta 6000 pred našim štetjem, ob koncu ledene dobe so takratni prebivalci Pohorja poglobili močvirnato površje in ga spremenili v jezero. Velikost jezera pa so zaradi spravljanja hlodovine v dolino sredi 19 stoletja še povečali. Jezero v katerem najdemo redke živalske in rastlinske vrste pa danes meri okrog 50 hektarjev."

Dom na Osankarici,Pohorje in ostala severovzhodna Slovenija, 1193,"46,44902°N","15,41921°E", koča, 455490, 85% ,396. mesto,4,0,"Dom se nahaja sredi Pohorskih gozdov na visokem barju pri Črnem jezeru. Dom je primerno izhodišče ali vmesna točka lepih sprehodov po Pohorju. Ogledamo si lahko bližnje Črno jezero, se sprehodimo do taborišča pohorskega bataljona ali še naprej do koče na Šumiku. V bližini je tudi razgledni stolp na Adamovem vrhu, Trije kralji in drugo."

